                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0154,                 3.0352,                  1.418,                 0.6748,                0.45833,                0.58278,                0.44761,                0.65964,                  3.784,                  1.218,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                0.81944,                 2.2192,                 1.2355,                0.62079,                  0.625,                0.67174,                0.57941,                0.58013,                  4.169,                 1.1894,             8.2842e-05,             8.2842e-05,             8.2842e-05
                      3,                0.87238,                 1.7158,                 1.2544,                0.34907,                   0.25,                0.18836,                0.13652,                0.71199,                 6.7348,                 1.4008,             0.00013013,             0.00013013,             0.00013013
                      4,                0.75599,                 1.4985,                 1.1868,                0.44859,                0.41667,                0.45639,                0.37685,                0.68813,                 6.1448,                 1.3286,             0.00017348,             0.00017348,             0.00017348
                      5,                0.72515,                 1.3503,                 1.1479,                0.34851,                0.45833,                0.30163,                0.25694,                0.77849,                 5.2964,                 1.4156,             0.00021132,             0.00021132,             0.00021132
                      6,                0.72447,                 1.1214,                 1.0554,                0.34933,                0.45833,                0.42716,                0.32655,                 0.8249,                 4.6489,                 1.5308,              0.0002423,              0.0002423,              0.0002423
                      7,                0.69462,                 1.2397,                 1.1605,                0.28566,                0.66667,                0.46642,                 0.3358,                0.77145,                 5.0952,                 1.5299,             0.00026537,             0.00026537,             0.00026537
                      8,                0.66483,                 1.1497,                 1.1431,                0.47232,                0.54167,                0.61708,                0.50464,                0.85946,                   3.43,                 1.5419,             0.00027978,             0.00027978,             0.00027978
                      9,                 0.7642,                0.99303,                 1.0986,                0.66995,                  0.625,                0.64439,                0.47966,                0.87449,                 2.9362,                 1.6074,             0.00028517,             0.00028517,             0.00028517
                     10,                0.71466,                0.90759,                 1.0712,                0.68379,                0.54167,                0.58082,                0.36061,                   1.08,                  3.202,                 1.7232,             0.00028157,             0.00028157,             0.00028157
                     11,                0.74971,                 1.3294,                 1.0441,                 0.5442,                0.66667,                0.54068,                0.44773,                 1.0482,                 2.9332,                 1.6783,             0.00026939,             0.00026939,             0.00026939
                     12,                0.68764,                 1.2316,                 1.1667,                0.72572,                0.66667,                0.66105,                0.52101,                 1.0805,                 3.0919,                 1.8357,             0.00024946,             0.00024946,             0.00024946
                     13,                0.78541,                 1.1612,                 1.1748,                0.65467,                0.77443,                0.72235,                0.59253,                0.93892,                 2.2629,                 1.6917,               0.000223,               0.000223,               0.000223
                     14,                0.64003,                0.98499,                 1.1109,                0.70091,                0.52507,                0.69116,                0.60793,                0.79865,                 2.1403,                 1.3704,             0.00019156,             0.00019156,             0.00019156
                     15,                0.68934,                0.93122,                 1.0742,                0.49883,                0.86211,                0.72304,                 0.5982,                0.80671,                 2.2351,                 1.4007,               0.000157,               0.000157,               0.000157
                     16,                0.61174,                0.85209,                 1.0708,                0.76638,                0.86478,                0.79257,                0.64101,                 0.7705,                 2.1158,                 1.3943,             0.00012143,             0.00012143,             0.00012143
                     17,                0.62067,                0.89044,                 1.0038,                0.75102,                0.85847,                0.79357,                0.63507,                0.76838,                 2.0612,                 1.4188,             8.7131e-05,             8.7131e-05,             8.7131e-05
                     18,                0.54325,                0.75622,                 1.0014,                0.80747,                0.77915,                 0.7848,                 0.6392,                0.66816,                 1.8754,                  1.343,             5.6502e-05,             5.6502e-05,             5.6502e-05
                     19,                0.63432,                0.70691,                 1.0014,                0.81681,                0.77587,                0.78322,                0.64674,                0.64807,                 1.7723,                 1.3237,             3.1952e-05,             3.1952e-05,             3.1952e-05
                     20,                0.69293,                0.91378,                 1.0359,                0.73101,                0.86006,                0.77445,                0.62848,                0.65446,                 1.7064,                 1.3218,             1.5829e-05,             1.5829e-05,             1.5829e-05
